wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol
62,6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3
63,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5
64,12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9
65,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8
66,7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4
67,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9
68,6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5
69,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6
70,9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6
71,7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3
72,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5
73,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4
74,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.23333333333333
75,7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6
76,8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2
77,7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8
78,7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7
79,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8
80,7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5
81,7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4
82,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4
83,9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2
84,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2
85,8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9
86,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9
87,10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5
88,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2
89,7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1
90,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9
91,8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1
92,7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6
93,7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8
94,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5
95,7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4
96,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11
97,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11
98,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5
99,7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3
100,7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5
101,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4
102,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1
103,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8
104,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2
105,11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11
106,9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4
107,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4
108,11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3
109,8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9
110,12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9
111,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5
112,6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5
113,9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10
114,7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6
115,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3
116,9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9
117,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6
118,7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5
119,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3
120,8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2
121,7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2
122,6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7
123,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7
124,7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4
125,6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2
126,10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9
127,10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5
128,6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1
129,10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10
130,6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2
131,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5
132,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4
133,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2
134,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8
135,7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8
136,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5
137,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7
138,5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5
139,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5
140,7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5
141,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8
142,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1
143,9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2
144,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6
145,9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10
146,9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1
147,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3
148,13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6
149,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7
150,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5
151,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8
152,8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3
153,6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1
154,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5
155,7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5
156,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8
157,10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2
158,6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3
159,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4
160,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12
161,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3
162,9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1
163,7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2
164,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2
165,8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7
166,8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9
167,9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5
168,10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2
169,7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3
170,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9
171,8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2
172,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6
173,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12
174,9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4
175,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7
176,6.1,0.6,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11
177,7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1
178,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4
179,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3
180,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8
181,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4
182,8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5
183,12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12
184,9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4
185,6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2
186,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10
187,9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3
188,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3
189,5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4
190,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3
191,10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8
192,8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6
193,6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11
194,10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4
195,11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2
196,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8
197,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10
198,7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9
199,7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8
200,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7
201,8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5
202,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4
203,10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6
204,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7
205,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2
206,10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6
207,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3
208,10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5
209,8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7
210,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4
211,9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9
212,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5
213,12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3
214,6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8
215,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5
216,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5
217,6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1
218,11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8
219,8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1
220,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5
221,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4
222,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4
223,8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9
224,7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4
225,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4
226,8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3
227,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1
228,11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8
229,7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4
230,9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4
231,7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5
232,7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8
233,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5
234,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1
235,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1
236,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9
237,5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6
238,8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8
239,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5
240,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4
241,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9
242,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6
243,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5
244,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5
245,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3
246,8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6
247,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5
248,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4
249,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4
250,8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2
251,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4
252,10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8
253,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9
254,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4
255,7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11
256,8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5
257,9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4
258,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3
259,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11
260,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5
261,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5
262,7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4
263,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1
264,8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5
265,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2
266,11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2
267,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2
268,9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11
269,9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7
270,5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11
271,8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11
272,10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10
273,9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4
274,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6
275,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9
276,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11
277,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7
278,7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4
279,7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1
280,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8
281,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8
282,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10
283,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1
284,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8
285,11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6
286,10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6
287,11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8
288,7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7
289,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5
290,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8
291,7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7
292,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5
293,9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8
294,6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1
295,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8
296,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6
297,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1
298,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3
299,9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5
300,7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1
302,8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2
303,8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1
304,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5
305,15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9
306,7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8
307,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8
308,8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7
309,7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2
310,8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2
311,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4
312,5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5
313,8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9
314,7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9
315,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1
316,11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3
317,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3
318,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5
319,7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7
320,8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8
321,5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14
322,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4
323,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5
324,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5
325,9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9
326,8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2
327,7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9
328,8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7
329,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3
