wine_id,wine_type,quality
382,red,5
383,red,6
384,red,6
385,red,5
386,red,5
387,red,7
388,red,5
389,red,6
390,red,8
391,red,5
392,red,6
393,red,5
394,red,6
395,red,5
396,red,6
397,red,4
398,red,5
399,red,6
400,red,7
401,red,6
402,red,5
403,red,6
404,red,6
405,red,6
406,red,5
408,red,4
409,red,6
410,red,7
411,red,5
412,red,5
413,red,5
414,red,7
415,red,6
416,red,6
417,red,6
418,red,6
419,red,5
420,red,6
421,red,5
422,red,5
423,red,6
424,red,6
425,red,5
426,red,5
427,red,5
428,red,6
429,red,5
430,red,7
431,red,5
432,red,5
433,red,5
434,red,5
435,red,5
436,red,6
437,red,6
438,red,6
439,red,7
440,red,5
441,red,6
442,red,4
443,red,5
444,red,6
445,red,5
446,red,6
447,red,7
448,red,6
449,red,7
450,red,6
451,red,5
452,red,6
453,red,5
454,red,6
455,red,6
456,red,7
457,red,5
458,red,5
459,red,5
460,red,4
461,red,5
462,red,6
463,red,5
464,red,6
465,red,6
466,red,6
467,red,7
468,red,6
469,red,6
470,red,5
471,red,6
472,red,6
473,red,6
474,red,5
475,red,5
476,red,6
477,red,5
478,red,7
479,red,5
480,red,7
481,red,5
482,red,5
483,red,5
484,red,5
485,red,5
486,red,5
487,red,5
488,red,5
489,red,5
490,red,5
491,red,7
492,red,5
493,red,5
494,red,5
495,red,5
496,red,7
497,red,6
498,red,6
499,red,5
500,red,6
501,red,6
502,red,6
503,red,8
504,red,6
505,red,6
506,red,5
507,red,5
508,red,6
509,red,5
510,red,5
511,red,5
512,red,5
513,red,5
514,red,7
515,red,6
516,red,7
517,red,4
518,red,5
519,red,5
520,red,5
521,red,6
522,red,4
523,red,4
524,red,5
525,red,5
526,red,6
527,red,5
528,red,5
529,red,5
530,red,5
531,red,5
532,red,6
533,red,5
534,red,5
535,red,7
536,red,5
537,red,6
538,red,6
539,red,5
540,red,5
541,red,5
542,red,6
543,red,7
544,red,6
545,red,7
546,red,5
547,red,3
548,red,6
549,red,6
550,red,3
551,red,6
552,red,6
553,red,4
554,red,6
555,red,6
556,red,7
557,red,7
558,red,7
559,red,5
560,red,6
561,red,5
562,red,5
563,red,6
564,red,5
565,red,5
566,red,7
567,red,6
568,red,5
569,red,5
570,red,6
571,red,5
572,red,6
573,red,5
574,red,5
575,red,8
576,red,5
577,red,7
578,red,6
579,red,5
580,red,5
581,red,6
582,red,6
583,red,6
584,red,3
585,red,5
587,red,5
588,red,6
589,red,5
590,red,5
591,red,6
592,red,5
593,red,5
594,red,5
595,red,5
596,red,6
597,red,5
598,red,5
599,red,4
600,red,7
601,red,5
602,red,6
603,red,7
604,red,6
605,red,5
606,red,6
607,red,5
608,red,5
609,red,5
610,red,6
611,red,6
612,red,7
613,red,7
614,red,6
615,red,6
616,red,5
617,red,5
618,red,3
619,red,6
620,red,5
621,red,5
622,red,6
623,red,6
624,red,6
625,red,6
626,red,6
627,red,6
628,red,6
629,red,7
630,red,6
631,red,5
632,red,5
633,red,7
634,red,5
635,red,6
636,red,5
637,red,7
638,red,7
639,red,7
640,red,6
641,red,5
642,red,5
643,red,5
644,red,6
645,red,6
646,red,7
647,red,6
648,red,3
649,red,5
650,red,6
651,red,6
652,red,6
653,red,7
654,red,5
655,red,4
656,red,6
657,red,5
658,red,5
659,red,6
660,red,6
661,red,6
662,red,6
663,red,5
664,red,5
665,red,7
666,red,7
667,red,5
668,red,6
669,red,6
670,red,7
671,red,6
672,red,7
673,red,5
674,red,5
675,red,6
676,red,6
677,red,5
678,red,3
679,red,5
680,red,5
681,red,5
682,red,6
683,red,7
684,red,8
685,red,6
686,red,6
687,red,6
688,red,6
689,red,6
690,red,6
691,red,5
692,red,6
693,red,5
694,red,5
695,red,5
696,red,5
697,red,5
698,red,6
699,red,7
700,red,5
701,red,6
702,red,4
703,red,5
704,red,5
705,red,5
706,red,6
707,red,5
708,red,5
709,red,5
710,red,4
711,red,5
712,red,5
713,red,5
714,red,7
715,red,5
716,red,7
717,red,6
718,red,6
719,red,7
720,red,5
722,red,5
723,red,5
724,red,7
725,red,5
726,red,6
727,red,6
728,red,5
729,red,6
730,red,6
731,red,6
732,red,5
733,red,6
734,red,6
735,red,5
736,red,5
737,red,5
738,red,5
739,red,6
740,red,6
741,red,6
742,red,6
743,red,6
744,red,5
745,red,5
746,red,6
747,red,6
748,red,7
749,red,6
750,red,7
751,red,6
752,red,5
753,red,5
754,red,6
755,red,5
756,red,6
757,red,5
758,red,5
759,red,7
760,red,6
761,red,5
762,red,5
763,red,7
764,red,6
765,red,5
766,red,4
767,red,6
768,red,5
769,red,6
770,red,5
771,red,5
772,red,5
773,red,5
774,red,5
775,red,4
776,red,7
777,red,6
778,red,5
779,red,6
780,red,6
781,red,6
782,red,6
783,red,6
784,red,5
785,red,5
786,red,5
787,red,6
788,red,5
789,red,6
790,red,5
791,red,5
792,red,5
793,red,7
794,red,5
795,red,6
796,red,6
797,red,6
798,red,6
799,red,6
800,red,7
801,red,7
802,red,6
803,red,6
804,red,5
805,red,5
806,red,8
807,red,4
808,red,6
809,red,6
810,red,6
811,red,5
812,red,5
813,red,5
814,red,5
815,red,7
816,red,5
817,red,7
818,red,5
819,red,5
820,red,6
821,red,7
822,red,6
823,red,5
824,red,5
825,red,5
826,red,7
827,red,5
828,red,6
829,red,5
830,red,6
831,red,5
832,red,5
833,red,6
834,red,7
835,red,7
836,red,5
837,red,7
838,red,6
839,red,5
840,red,5
841,red,6
842,red,5
843,red,6
844,red,5
845,red,7
846,red,6
848,red,5
849,red,5
850,red,7
851,red,6
852,red,5
853,red,5
854,red,5
855,red,6
856,red,4
857,red,6
858,red,5
859,red,5
860,red,6
861,red,6
862,red,6
863,red,7
864,red,5
865,red,6
866,red,5
867,red,5
868,red,5
869,red,5
870,red,6
871,red,6
872,red,5
873,red,6
874,red,4
875,red,6
876,red,7
877,red,5
878,red,6
879,red,5
880,red,5
881,red,6
882,red,6
883,red,6
884,red,6
885,red,4
886,red,5
887,red,7
888,red,5
889,red,4
890,red,7
891,red,5
892,red,5
893,red,6
894,red,6
895,red,6
896,red,7
897,red,5
898,red,6
899,red,5
900,red,5
901,red,6
902,red,6
903,red,6
904,red,7
905,red,6
906,red,5
907,red,6
908,red,6
909,red,6
910,red,5
911,red,6
912,red,6
913,red,6
914,red,5
915,red,5
916,red,6
917,red,5
918,red,6
919,red,6
920,red,5
921,red,6
922,red,7
923,red,6
924,red,6
925,red,5
926,red,5
927,red,6
928,red,7
929,red,5
930,red,6
931,red,5
932,red,5
933,red,6
934,red,6
935,red,5
936,red,6
937,red,7
938,red,5
939,red,5
940,red,5
941,red,6
942,red,6
943,red,5
944,red,6
945,red,6
946,red,5
947,red,6
948,red,7
949,red,5
950,red,6
951,red,6
952,red,6
953,red,6
954,red,5
955,red,5
956,red,6
957,red,5
958,red,7
959,red,7
960,red,5
961,red,7
962,red,6
963,red,6
964,red,5
965,red,5
966,red,6
967,red,6
968,red,6
969,red,7
970,red,6
971,red,5
972,red,5
973,red,6
974,red,5
975,red,4
976,red,6
977,red,6
978,red,5
979,red,5
980,red,6
981,red,7
982,red,7
983,red,5
984,red,5
985,red,5
986,red,7
987,red,4
988,red,6
989,red,6
990,red,5
991,red,5
992,red,6
993,red,6
994,red,5
995,red,6
996,red,6
997,red,5
998,red,6
999,red,5
1000,red,6
1001,red,7
1002,red,5
1003,red,6
1005,red,5
1006,red,5
1007,red,6
1008,red,6
1009,red,4
1010,red,5
1011,red,5
1012,red,6
1013,red,6
1014,red,6
1015,red,7
1016,red,6
1017,red,5
1018,red,6
1019,red,7
1020,red,7
1021,red,4
1022,red,6
1023,red,6
1024,red,5
1025,red,6
1026,red,6
1027,red,5
1028,red,6
1029,red,7
1030,red,6
1031,red,6
1032,red,6
1033,red,6
1034,red,5
1035,red,7
1036,red,6
1037,red,6
1038,red,6
1039,red,5
1040,red,7
1041,red,5
1042,red,7
1043,red,6
1044,red,6
1045,red,6
1046,red,7
1047,red,6
1048,red,6
1049,red,5
1050,red,6
1051,red,5
1052,red,6
1053,red,5
1054,red,6
1055,red,6
1056,red,5
1057,red,6
1058,red,6
1059,red,6
1060,red,6
1061,red,6
1062,red,5
1063,red,6
1064,red,6
1065,red,5
1066,red,5
1067,red,5
1068,red,6
1069,red,5
1070,red,6
1071,red,5
1072,red,6
1073,red,4
1074,red,5
1075,red,5
1076,red,5
1077,red,5
1078,red,5
1079,red,5
1080,red,7
1081,red,6
1082,red,5
1083,red,6
1084,red,6
1085,red,6
1086,red,6
1087,red,6
1088,red,6
1089,red,7
1090,red,4
1091,red,5
1092,red,5
1093,red,6
1094,red,4
1095,red,6
1096,red,5
1097,red,6
1098,red,5
1099,red,7
1100,red,6
1101,red,5
1102,red,5
1103,red,7
1104,red,6
1105,red,6
1106,red,7
1107,red,6
1108,red,6
1109,red,6
1110,red,6
1111,red,5
1112,red,6
1113,red,6
1114,red,7
1115,red,6
1116,red,5
1117,red,5
1118,red,6
1119,red,6
1120,red,7
1121,red,5
1122,red,5
1123,red,5
1124,red,6
1125,red,6
1127,red,7
1128,red,6
1129,red,5
1130,red,3
1131,red,4
1132,red,5
1133,red,5
1134,red,5
1135,red,5
1136,red,5
1137,red,6
1138,red,5
1139,red,6
1140,red,5
1141,red,5
1142,red,6
1143,red,5
1144,red,6
1145,red,6
1146,red,6
1147,red,6
1148,red,6
1149,red,5
1150,red,6
1151,red,5
1152,red,7
1153,red,6
1154,red,5
1155,red,4
1156,red,4
1157,red,6
1158,red,5
1159,red,7
1160,red,6
1161,red,6
1162,red,5
1163,red,5
1164,red,7
1165,red,5
1166,red,5
1167,red,6
1168,red,5
1169,red,6
1170,red,6
1171,red,5
1172,red,6
1173,red,6
1174,red,6
1175,red,6
1176,red,6
1177,red,6
1178,red,5
1179,red,6
1180,red,5
1181,red,6
1182,red,6
1183,red,5
1184,red,6
1185,red,6
1186,red,5
1187,red,7
1188,red,6
1189,red,5
1190,red,6
1191,red,5
1192,red,8
1193,red,6
1194,red,6
1195,red,5
1196,red,5
1197,red,6
1198,red,6
1199,red,7
1200,red,7
1201,red,5
1202,red,5
1203,red,6
1204,red,6
1205,red,5
1206,red,6
1207,red,6
1208,red,6
1209,red,5
1210,red,5
1211,red,6
1212,red,5
1213,red,6
1214,red,5
1215,red,5
1216,red,6
1217,red,6
1218,red,5
1219,red,5
1220,red,5
1221,red,7
1222,red,5
1223,red,6
1224,red,5
1225,red,7
1226,red,5
1227,red,6
1229,red,5
1230,red,5
1231,red,5
1232,red,6
1233,red,5
1234,red,6
1235,red,5
1236,red,6
1237,red,6
1238,red,6
1239,red,5
1240,red,5
1241,red,5
1242,red,8
1243,red,8
1244,red,7
1245,red,5
1246,red,5
1247,red,5
1248,red,6
1249,red,5
1250,red,6
1251,red,5
1252,red,5
1253,red,7
1254,red,6
1255,red,5
1256,red,5
1257,red,6
1258,red,5
1259,red,5
1260,red,6
1261,red,5
1262,red,6
1263,red,5
1264,red,5
1265,red,7
1266,red,6
1267,red,6
1268,red,6
1269,red,6
1270,red,6
1271,red,6
1272,red,6
1273,red,6
1274,red,5
1275,red,6
1276,red,6
1277,red,5
1278,red,7
1279,red,6
1280,red,5
1281,red,6
1282,red,5
1283,red,7
1284,red,3
1285,red,6
1286,red,6
1287,red,5
1288,red,5
1289,red,5
1290,red,6
1291,red,7
1292,red,5
1293,red,5
1294,red,6
1295,red,6
1296,red,6
1297,red,7
1298,red,6
1299,red,7
1300,red,6
1301,red,5
1302,red,5
1303,red,5
1304,red,5
1305,red,8
1306,red,7
1307,red,6
1308,red,7
1309,red,7
1310,red,7
1311,red,5
1312,red,7
1313,red,6
1314,red,7
1315,red,5
1316,red,6
1317,red,4
1318,red,6
1319,red,5
1320,red,6
1321,red,5
1322,red,6
1323,red,6
1324,red,8
1325,red,5
1326,red,6
1327,red,5
1328,red,5
1329,red,6
1330,red,7
1331,red,5
1332,red,5
1333,red,5
1334,red,6
1335,red,6
1336,red,6
1337,red,5
1338,red,7
1339,red,6
1340,red,5
1341,red,7
1342,red,6
1343,red,5
1344,red,6
1345,red,6
1346,red,5
1347,red,7
1348,red,5
1349,red,5
1350,red,6
1351,red,7
1352,red,5
1353,red,6
1354,red,5
1355,red,7
1356,red,6
1357,red,6
1358,red,5
1359,red,5
1360,red,6
1361,red,6
1362,red,5
1363,red,5
1364,red,6
1365,red,6
1366,red,5
1367,red,7
1368,red,4
1369,red,5
1370,red,5
1371,red,6
1372,red,5
1373,red,6
1374,red,5
1375,red,7
1376,red,5
1377,red,6
1378,red,6
1379,red,5
1380,red,4
1381,red,6
1382,red,5
1383,red,5
1384,red,5
1385,red,7
1386,red,5
1387,red,4
1388,red,5
1389,red,6
1390,red,6
1391,red,6
1392,red,5
1393,red,4
1394,red,5
1395,red,5
1396,red,5
1397,red,7
1398,red,6
1399,red,6
1400,red,3
1401,red,6
1402,red,6
1403,red,7
1404,red,5
1405,red,6
1406,red,5
1407,red,6
1408,red,5
1409,red,6
1410,red,5
1411,red,7
1412,red,7
1413,red,6
1414,red,6
1415,red,7
1416,red,6
1417,red,5
1418,red,6
1419,red,6
1420,red,6
1421,red,6
1422,red,5
1423,red,6
1424,red,4
1425,red,5
1426,red,7
1427,red,5
1428,red,6
1429,red,5
1430,red,6
1431,red,5
1432,red,5
1433,red,5
1434,red,6
1435,red,5
1436,red,6
1437,red,6
1438,red,5
1439,red,5
1440,red,4
1441,red,6
1442,red,6
1443,red,5
1444,red,5
1445,red,7
1446,red,6
1447,red,6
1448,red,5
1449,red,6
1450,red,5
1451,red,5
1452,red,5
1453,red,6
1454,red,5
1455,red,5
1456,red,5
1457,red,5
1458,red,5
1459,red,5
1460,red,6
1461,red,5
1462,red,7
1463,red,5
1464,red,5
1465,red,7
1466,red,5
1467,red,6
1468,red,6
1469,red,6
1470,red,6
1471,red,6
1472,red,5
1473,red,5
1474,red,5
1475,red,5
1476,red,5
1477,red,6
1478,red,5
1479,red,6
1480,red,6
1481,red,6
1482,red,5
1483,red,5
1484,red,5
1485,red,7
1486,red,6
1487,red,6
1488,red,5
1489,red,6
1490,red,5
1492,red,5
1493,red,6
1494,red,6
1495,red,6
1496,red,5
1497,red,5
1498,red,5
1499,red,6
1500,red,6
1501,red,6
1502,red,5
1503,red,5
1504,red,5
1505,red,5
1506,red,6
1507,red,7
1508,red,8
1509,red,6
1510,white,6
1511,white,6
1512,white,6
1513,white,7
1514,white,5
1515,white,5
1516,white,5
1517,white,6
1518,white,6
1519,white,6
1520,white,7
1521,white,6
1522,white,6
1523,white,6
1524,white,5
1525,white,5
1526,white,5
1527,white,6
1528,white,5
1530,white,6
1531,white,6
1532,white,5
1533,white,6
1534,white,6
1535,white,7
1536,white,6
1537,white,5
1538,white,8
1539,white,7
1540,white,6
1541,white,5
1542,white,6
1543,white,6
1544,white,6
1545,white,7
1546,white,7
1547,white,6
1548,white,8
1549,white,6
1550,white,5
1551,white,7
1552,white,6
1553,white,7
1554,white,5
1555,white,3
1556,white,5
1557,white,6
1558,white,6
1559,white,5
1560,white,4
1561,white,6
1562,white,6
1563,white,5
1564,white,7
1565,white,5
1566,white,7
1567,white,6
1568,white,5
1569,white,6
1570,white,6
1571,white,5
1572,white,6
1573,white,5
1574,white,7
1575,white,6
1576,white,6
1577,white,6
1578,white,6
1579,white,5
1580,white,7
1581,white,6
1582,white,5
1583,white,6
1584,white,6
1585,white,6
1586,white,5
1587,white,5
1588,white,5
1589,white,4
1590,white,7
1591,white,7
1592,white,6
1593,white,7
1594,white,4
1595,white,5
1596,white,6
1597,white,6
1598,white,5
1599,white,5
1600,white,5
1601,white,4
1602,white,6
1603,white,6
1604,white,7
1605,white,6
1606,white,6
1607,white,7
1608,white,6
1609,white,7
1610,white,6
1611,white,5
1612,white,5
1613,white,6
1614,white,6
1615,white,6
1616,white,5
1617,white,4
1618,white,5
1619,white,5
1621,white,6
1622,white,6
1623,white,5
1624,white,6
1625,white,3
1626,white,5
1627,white,6
1628,white,5
1629,white,6
1630,white,5
1631,white,6
1632,white,5
1633,white,4
1634,white,7
1635,white,5
1636,white,6
1637,white,8
1638,white,5
1639,white,7
1640,white,5
1641,white,6
1642,white,5
1643,white,5
1644,white,5
1645,white,7
1646,white,7
1647,white,5
1648,white,6
1649,white,6
1650,white,6
1651,white,5
1652,white,6
1653,white,7
1654,white,6
1655,white,6
1656,white,6
1657,white,6
1658,white,6
1659,white,6
1660,white,6
1661,white,6
1662,white,7
1663,white,6
1664,white,6
1665,white,4
1666,white,6
1667,white,6
1668,white,7
1669,white,6
1670,white,6
1672,white,6
1673,white,6
1674,white,7
1675,white,3
1676,white,7
1677,white,6
1678,white,5
1679,white,5
1680,white,5
1681,white,5
1682,white,6
1683,white,6
1684,white,7
1685,white,5
1686,white,7
1687,white,6
1688,white,5
1689,white,8
1690,white,6
1691,white,7
1692,white,5
1693,white,6
1694,white,7
1695,white,6
1696,white,6
1697,white,6
1698,white,6
1699,white,7
1700,white,8
1701,white,6
1702,white,4
1703,white,5
1704,white,6
1705,white,7
1706,white,6
1707,white,6
1708,white,5
1709,white,6
1710,white,5
1711,white,6
1712,white,5
1713,white,6
1714,white,5
1715,white,6
1716,white,6
1717,white,6
1718,white,6
1719,white,5
1720,white,7
1721,white,5
1722,white,6
1723,white,6
1724,white,6
1725,white,6
1726,white,6
1727,white,6
1728,white,6
1729,white,6
1730,white,5
1731,white,6
1732,white,7
1733,white,5
1735,white,5
1736,white,6
1737,white,5
1739,white,7
1740,white,7
1741,white,6
1742,white,5
1743,white,6
1744,white,6
1745,white,8
1746,white,7
1747,white,5
1748,white,7
1749,white,6
1750,white,6
1751,white,7
1752,white,5
1753,white,6
1754,white,6
1755,white,6
1756,white,5
1757,white,5
1758,white,6
1759,white,5
1760,white,7
1761,white,5
1762,white,6
1763,white,6
1764,white,5
1765,white,5
1766,white,6
1767,white,5
1768,white,6
1769,white,8
1770,white,6
1771,white,7
1772,white,6
1773,white,8
1774,white,7
1775,white,5
1776,white,5
1777,white,6
1778,white,5
1779,white,7
1780,white,7
1781,white,5
1783,white,6
1784,white,6
1785,white,6
1786,white,7
1787,white,6
1788,white,5
1789,white,6
1790,white,6
1791,white,6
1792,white,5
1793,white,5
1794,white,7
1795,white,6
1796,white,6
1797,white,6
1798,white,6
1799,white,5
1800,white,6
1801,white,5
1802,white,6
1803,white,7
1804,white,6
1805,white,5
1806,white,6
1807,white,7
1808,white,5
1809,white,6
1810,white,5
1811,white,5
1812,white,8
1813,white,5
1814,white,7
1815,white,6
1816,white,6
1817,white,7
1818,white,5
1819,white,5
1820,white,5
1821,white,7
1822,white,6
1823,white,6
1824,white,5
1825,white,6
1826,white,6
1827,white,6
1828,white,6
1829,white,7
1830,white,5
1831,white,5
1832,white,6
1833,white,8
1834,white,5
1835,white,8
1836,white,9
1837,white,5
1838,white,6
1839,white,6
1840,white,6
1842,white,7
1843,white,6
1844,white,5
1845,white,5
1846,white,5
1847,white,6
1848,white,6
1849,white,6
1850,white,6
1851,white,5
1852,white,6
1853,white,7
1854,white,6
1855,white,6
1856,white,6
1857,white,6
1858,white,8
1859,white,5
1860,white,6
1861,white,5
1862,white,6
1863,white,7
1864,white,6
1865,white,5
1866,white,6
1867,white,5
1868,white,6
1869,white,6
1870,white,7
1871,white,5
1872,white,6
1873,white,8
1874,white,5
1875,white,4
1876,white,7
1877,white,6
1878,white,7
1879,white,6
1880,white,5
1881,white,6
1882,white,6
1883,white,7
1884,white,6
1885,white,6
1886,white,7
1887,white,6
1888,white,5
1889,white,6
1890,white,6
1891,white,6
1892,white,5
1893,white,6
1894,white,6
1895,white,6
1896,white,8
1897,white,7
1898,white,8
1899,white,6
1900,white,6
1901,white,6
1902,white,8
1903,white,7
1904,white,6
1905,white,6
1906,white,6
1907,white,5
1908,white,6
1909,white,7
1910,white,5
1911,white,7
1912,white,5
1913,white,6
1914,white,6
1915,white,6
1916,white,6
1917,white,5
1918,white,5
1919,white,5
1920,white,5
1921,white,6
1922,white,8
1923,white,6
1924,white,7
1925,white,5
1926,white,8
1927,white,7
1928,white,5
1929,white,7
1930,white,6
1931,white,5
1932,white,5
1933,white,6
1934,white,6
1935,white,6
1936,white,8
1937,white,6
1938,white,3
1939,white,7
1940,white,5
1941,white,7
1942,white,5
1943,white,6
1944,white,7
1945,white,6
1946,white,4
1947,white,6
1948,white,5
1949,white,7
1950,white,6
1951,white,5
1952,white,5
1953,white,6
1954,white,5
1955,white,6
1956,white,7
1957,white,6
1958,white,5
1959,white,7
1960,white,7
1961,white,6
1962,white,7
1963,white,6
1964,white,6
1965,white,6
1966,white,5
1967,white,6
1968,white,6
1969,white,7
1970,white,7
1971,white,4
1972,white,6
1973,white,6
1974,white,5
1975,white,5
1976,white,5
1977,white,4
1978,white,7
1979,white,4
1980,white,6
1981,white,5
1982,white,6
1983,white,6
1984,white,6
1985,white,6
1986,white,6
1987,white,5
1988,white,6
1989,white,5
1990,white,6
1991,white,7
1992,white,7
1993,white,6
1994,white,5
1995,white,6
1997,white,6
1998,white,6
1999,white,6
2000,white,6
2001,white,4
2002,white,7
2003,white,7
2004,white,5
2005,white,6
2006,white,5
2007,white,5
2008,white,6
2009,white,6
2010,white,7
2011,white,6
2012,white,6
2013,white,7
2014,white,6
2015,white,6
2016,white,6
2017,white,6
2018,white,7
2019,white,6
2020,white,7
2021,white,7
2022,white,6
2023,white,6
2024,white,5
2025,white,6
2026,white,7
2027,white,6
2028,white,6
2029,white,6
2030,white,6
2031,white,6
2032,white,6
2033,white,5
2034,white,6
2035,white,5
2036,white,5
2037,white,5
2038,white,5
2039,white,6
2040,white,7
2041,white,6
2042,white,7
2043,white,7
2044,white,5
2045,white,5
2046,white,6
2047,white,6
2048,white,6
2049,white,5
2050,white,5
2051,white,6
2052,white,6
2053,white,7
2054,white,6
2055,white,6
2056,white,5
2057,white,5
2058,white,6
2059,white,6
2060,white,7
2061,white,7
2062,white,6
2063,white,6
2064,white,5
2065,white,5
2066,white,8
2067,white,5
2068,white,6
2069,white,5
2070,white,7
2071,white,5
2072,white,6
2073,white,6
2074,white,6
2075,white,4
2076,white,6
2077,white,7
2078,white,5
2079,white,7
2080,white,6
2081,white,5
2082,white,6
2083,white,7
2084,white,7
2085,white,6
2086,white,6
2087,white,6
2088,white,6
2089,white,6
2090,white,7
2091,white,6
2092,white,6
2093,white,6
2094,white,6
2095,white,5
2096,white,5
2097,white,5
2098,white,7
2099,white,7
2100,white,7
2101,white,6
2102,white,6
2103,white,6
2104,white,7
2105,white,5
2106,white,5
2107,white,6
2108,white,6
2109,white,6
2110,white,6
2111,white,6
2112,white,8
2113,white,5
2114,white,6
2115,white,6
2116,white,4
2117,white,6
2118,white,5
2119,white,5
2120,white,6
2121,white,5
2122,white,6
2123,white,7
2124,white,6
2125,white,8
2126,white,7
2127,white,7
2128,white,6
2129,white,6
2130,white,6
2131,white,6
2132,white,8
2133,white,6
2134,white,6
2135,white,5
2136,white,6
2137,white,6
2138,white,6
2139,white,5
2140,white,6
2141,white,6
2142,white,6
2143,white,5
2144,white,6
2145,white,6
2146,white,7
2147,white,6
2148,white,5
2149,white,6
2150,white,5
2151,white,7
2152,white,6
2153,white,7
2154,white,5
2155,white,6
