wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality
73,7,0.31,0.39,7.5,0.055,42,218,0.99652,3.37,0.54,10.3,5
74,8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,6
75,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
76,7.3,0.25,0.27,3.8,0.047,16,79,0.99173,3.07,0.46,11.3,6
77,4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,5
78,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
79,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
80,7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,4
81,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7
82,7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7
83,6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,6
84,6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7
85,7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,4
86,7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,5
87,8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6
88,6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6
89,6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5
90,7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9,5
91,6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5
92,6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
93,7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6
94,7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2,6
95,6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,7
96,5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,6
97,8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6
98,6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,7
99,6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,6
100,6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,7
101,7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6
102,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
103,6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5
104,7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6
105,6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,6
106,7.2,0.21,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,6
107,6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,5
108,6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,4
109,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
110,7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,5
111,6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,NA,5
112,6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6
113,6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6
114,8.6,0.36,0.26,11.1,0.03,43.5,171,0.9948,3.03,0.49,12,5
115,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
116,5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3
117,5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5
118,6,0.17,0.36,1.7,0.042,14,61,0.99144,3.22,0.54,10.8,6
119,5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,5
120,8.7,0.15,0.3,1.6,0.046,29,130,0.9942,3.22,0.38,9.8,6
121,7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
122,6,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6
123,7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5
124,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
125,7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,7
126,6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5
127,5.9,0.14,0.25,4.5,0.027,34,140,0.9934,3.49,0.51,10.8,6
128,5.8,0.315,0.27,1.55,0.026,15,70,0.98994,3.37,0.4,11.9,8
129,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5
130,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
131,7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3,5
132,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
133,6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,5
134,6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2,5
135,7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,5
136,7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,7
137,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
138,7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9,5
139,6.2,0.19,0.38,5.1,0.019,22,82,0.98961,3.05,0.36,12.5,6
140,6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
141,7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,6
142,6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5
143,6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,6
144,7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,7
145,6.3,0.27,0.29,12.2,0.044,59,196,0.99782,3.14,0.4,8.8,6
146,6.7,0.24,0.26,5.4,0.03,15,94,0.99045,3.15,0.38,12.7,6
147,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6
148,5.8,0.29,0.38,10.7,0.038,49,136,0.99366,3.11,0.59,11.2,6
149,6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6
150,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
151,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
152,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,6
153,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
154,6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6
155,5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6
156,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4
157,7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6
158,6,0.21,0.38,0.8,0.02,22,98,0.98941,3.26,0.32,11.8,6
159,6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.15,7
160,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
161,5.8,0.345,0.15,10.8,0.033,26,120,0.99494,3.25,0.49,10,6
162,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,NA,6
163,7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,6
164,7.4,0.16,0.32,1.4,0.065,23,140,0.99134,3.06,0.47,11.4,6
165,6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,7
166,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3
167,7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,7
168,5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6
169,6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,5
170,8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5
171,7,0.53,0.02,1,0.036,39,107,0.993,3.2,0.32,9,5
172,6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5
173,7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,6
174,7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
175,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7
176,6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
177,5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,7
178,7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
179,5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5
180,7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
181,7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
182,6.9,0.22,0.32,9.3,0.04,22,110,0.9958,3.34,0.54,10.7,7
183,7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12,5
184,6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6
185,6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,7
186,6.3,0.55,0.45,13,0.047,33,182,0.9974,3.2,0.46,9.2,6
187,7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,6
188,5.9,0.34,0.25,2,0.042,12,110,0.99034,3.02,0.54,11.4,6
189,6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6
190,8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2,7
191,6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8
192,7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6
193,7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4
194,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5
195,7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6
196,6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7
197,8.1,0.24,0.38,4.3,0.044,49,172,0.996,3.37,0.74,10.8,6
198,5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,6
199,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
200,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
201,5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5
202,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
203,4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5
204,7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,6
205,6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2,5
206,8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6
207,7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,6
208,6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,6
209,6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,6
210,7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5
211,6.2,0.1,0.41,1,0.04,17,76,0.98988,3.14,0.56,11.4,7
212,6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,5
213,6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
214,6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6
215,6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
216,5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,6
217,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
218,5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
219,6.1,0.27,0.32,6.2,0.048,47,161,0.99281,3.22,0.6,11,6
220,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
221,7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5
222,6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6
223,6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7
224,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
225,8,0.28,0.32,7.6,0.045,61,204,0.99543,16,0.55,10.1,6
226,7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5
227,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6
228,7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5
229,6.8,0.31,0.25,10.5,0.043,30,165,0.9972,NA,0.55,10.55,6
230,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
231,9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,7
232,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
233,6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
234,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
235,6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,6
236,7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8
237,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
238,6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6,5
239,7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7
240,6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6
241,6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6
242,8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7
243,6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5
244,6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6
245,7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
246,5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,6
247,7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5
248,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,5
249,6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,6
250,7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,5
251,6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7
252,6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5
253,7,0.2,0.31,8,0.05,29,213,0.99596,3.28,0.57,10.4,6
254,7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6
255,7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5
256,6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,5
257,6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6
258,6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,5
259,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
260,6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8
261,7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,6
262,7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,7
263,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6
264,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8
265,6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7
266,6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
267,6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5
268,6.2,0.22,0.2,20.8,0.035,58,184,1.00022,3.11,0.53,9,6
269,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5
270,6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7
271,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
272,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5
273,5.1,0.39,0.21,1.7,0.027,15,72,0.9894,NA,0.45,12.5,6
274,6.4,0.4,0.25,4.2,0.032,15,91,0.98988,3.26,0.52,13.1,6
275,6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,6
276,7.7,0.26,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,6
277,6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7
278,7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6
279,7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,5
280,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
281,7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6
282,6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6
283,7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3,5
284,7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5
285,6.7,0.18,0.37,1.3,0.027,42,125,0.98939,3.24,0.37,12.8,7
286,7.5,0.28,0.39,10.2,0.045,59,209,0.9972,3.16,0.63,9.6,6
287,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
288,6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,6
289,6.8,0.29,0.22,3.4,0.035,40,122,0.99024,3.09,0.47,12.3,6
290,8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5
291,7,0.24,0.34,3,0.035,36,102,0.9905,3.18,0.43,12.2,6
292,5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5
293,7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
294,7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7
295,6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6
296,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5
297,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6
298,8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
299,6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
300,7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,6
301,8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5
302,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.4666666666667,5
303,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
304,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5
305,8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7
306,6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,6
307,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
308,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
309,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,5
310,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
311,6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
312,8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,7
313,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
